player_id,player_name,season,team,age,games,targets,team_targets,target_share,fantasy_points_ppr,fantasy_ppg,positional_finish,target_share_bucket
00-0032365,DeMarcus Ayers,2016,PIT,22.0,2.0,13,590,0.022033898305084745,16.099999999999998,8.049999999999999,152.0,<10%
00-0032441,Aaron Burbridge,2016,SF,23.0,15.0,16,487,0.03285420944558522,15.8,1.0533333333333335,153.0,<10%
00-0032881,Tommylee Lewis,2016,NO,24.0,12.0,11,664,0.016566265060240965,15.700000000000001,1.3083333333333333,154.0,<10%
00-0031344,Cody Latimer,2016,DEN,24.0,11.0,15,556,0.02697841726618705,15.6,1.4181818181818182,155.0,<10%
00-0032362,Maurice Harris,2016,WAS,24.0,7.0,12,593,0.02023608768971332,14.6,2.085714285714286,156.0,<10%
00-0031189,T.J. Jones,2016,DET,24.0,3.0,14,580,0.02413793103448276,14.3,4.766666666666667,157.0,<10%
00-0031757,Lucky Whitehead,2016,DAL,24.0,15.0,3,479,0.006263048016701462,14.0,0.9333333333333333,158.0,<10%
00-0028249,Jeremy Ross,2016,ARI/NYJ,28.0,5.0,4,1182,0.00338409475465313,13.7,2.7399999999999998,159.0,<10%
00-0032977,Rashard Higgins,2016,CLE,22.0,10.0,12,558,0.021505376344086023,13.7,1.3699999999999999,160.0,<10%
00-0031060,De'Anthony Thomas,2016,KC,23.0,10.0,9,536,0.016791044776119403,13.4,1.34,161.0,<10%
00-0032543,Alex Erickson,2016,CIN,24.0,16.0,8,542,0.014760147601476014,13.1,0.81875,162.0,<10%
00-0030279,Keenan Allen,2016,LAC,24.0,1.0,7,564,0.012411347517730497,12.3,12.3,163.0,<10%
00-0033060,Leonte Carroo,2016,MIA,22.0,5.0,6,467,0.01284796573875803,11.9,2.38,164.0,<10%
00-0032724,Bryce Treggs,2016,PHI,22.0,6.0,12,604,0.019867549668874173,11.700000000000001,1.9500000000000002,165.0,<10%
00-0032739,Wendall Williams,2016,HOU,26.0,2.0,7,577,0.012131715771230503,11.5,5.75,166.0,<10%
00-0032423,Trevor Davis,2016,GB,23.0,8.0,7,614,0.011400651465798045,11.4,1.425,167.0,<10%
00-0029848,Nick Williams,2016,ATL,26.0,2.0,7,530,0.013207547169811321,10.9,5.45,168.0,<10%
00-0027651,Dexter McCluster,2016,LAC,28.0,6.0,11,564,0.01950354609929078,10.8,1.8,169.0,<10%
00-0032760,Josh Doctson,2016,WAS,24.0,2.0,6,593,0.01011804384485666,8.6,4.3,170.0,<10%
00-0028114,Dwayne Harris,2016,NYG,29.0,16.0,1,597,0.0016750418760469012,8.3,0.51875,171.0,<10%
00-0032170,Rashad Greene,2016,JAX,24.0,8.0,8,623,0.012841091492776886,8.2,1.025,172.0,<10%
00-0032935,Johnny Holton,2016,LV,25.0,12.0,3,589,0.0050933786078098476,7.7,0.6416666666666667,173.0,<10%
00-0031514,Quan Bray,2016,IND,23.0,6.0,4,572,0.006993006993006993,7.3,1.2166666666666666,174.0,<10%
00-0031025,Michael Campanaro,2016,BAL,25.0,3.0,1,665,0.0015037593984962407,7.199999999999999,2.4,175.0,<10%
00-0030091,Tavarres King,2016,NYG,26.0,3.0,4,597,0.006700167504187605,7.0,2.3333333333333335,176.0,<10%
00-0031818,Bradley Marquez,2016,LA,24.0,9.0,7,530,0.013207547169811321,6.9,0.7666666666666667,177.0,<10%
00-0033114,Mike Thomas,2016,LA,22.0,8.0,9,530,0.016981132075471698,6.7,0.8375,178.0,<10%
00-0032791,Jakeem Grant,2016,MIA,24.0,14.0,1,467,0.0021413276231263384,6.1,0.43571428571428567,179.0,<10%
00-0029033,Griff Whalen,2016,LAC,26.0,4.0,4,564,0.0070921985815602835,4.2,1.05,180.0,<10%
00-0026998,Percy Harvin,2016,BUF,28.0,1.0,4,459,0.008714596949891068,3.7,3.7,181.0,<10%
