team,games,total_yds,total_ypg,pass_yds,pass_ypg,rush_yds,rush_ypg,points,points_per_game
Iowa,13,4161,320.1,1861,143.2,2300,176.9,381,29.3
UCLA,12,3839,319.9,2163,180.3,1676,139.7,218,18.2
Sam Houston,12,3792,316.0,2209,184.1,1583,131.9,213,17.8
Wyoming,12,3776,314.7,2196,183.0,1580,131.7,192,16.0
Troy,14,4301,307.2,2929,209.2,1372,98.0,329,23.5
Bowling Green,12,3681,306.8,1815,151.3,1866,155.5,246,20.5
Stanford,12,3678,306.5,2664,222.0,1014,84.5,228,19.0
Rice,13,3931,302.4,1269,97.6,2662,204.8,248,19.1
Nevada,12,3626,302.2,1784,148.7,1842,153.5,211,17.6
Kent St.,12,3532,294.3,2365,197.1,1167,97.3,255,21.3
Minnesota,13,3811,293.2,2469,189.9,1342,103.2,299,23.0
Oklahoma St.,12,3509,292.4,2089,174.1,1420,118.3,170,14.2
North Carolina,12,3465,288.8,2202,183.5,1263,105.3,231,19.3
Northern Illinois,12,3431,285.9,1186,98.8,2245,187.1,205,17.1
Charlotte,12,3429,285.8,2448,204.0,981,81.8,172,14.3
Ball St.,12,3260,271.7,1679,139.9,1581,131.8,190,15.8
Wisconsin,12,3037,253.1,1637,136.4,1400,116.7,154,12.8
Massachusetts,12,2970,247.5,1981,165.1,989,82.4,133,11.1
