player_name,team,age,adp,player_id,team_target_share,games_played,target_share_data_quality_flag,redzone_touches,redzone_touch_share,inside_10_carry_share,explosive_run_rate,third_down_snap_share,route_participation_rate,carries,targets,total_touches,opportunity_share,target_share_of_backfield,yards_per_touch,depth_chart_rank,archetype_primary,down_split,lean
DeeJay Dallas,JAX,27.0,216.0,00-0036425,0.007083333333333219,5.0,,0.0,0.0,0.0,0.5,,0.0307414104882459,3.0,1.0,4.0,0.008948545861297539,0.01282051282051282,7.0,5.0,committee_back,2-down,none
Kene Nwangwu,NYJ,28.0,,00-0036842,0.00360169491525422,10.0,,3.0,0.0241935483870967,0.1071428571428571,0.0769230769230769,,0.0268336314847942,13.0,1.0,14.0,0.03357314148681055,0.011904761904761904,3.769230769230769,4.0,handcuff,not_applicable,none
Bam Knight,ARI,,216.0,,,,,23.0,0.1464968152866242,0.3888888888888889,0.0240963855421686,,,,,,,,,,unconfirmed,not_applicable,none
Trey Benson,ARI,24.0,216.0,00-0039921,0.11021069692058341,4.0,corrected,5.0,0.0318471337579617,0.0555555555555555,0.0689655172413793,0.1160714285714285,0.0998593530239099,29.0,16.0,45.0,0.10843373493975904,0.12903225806451613,5.333333333333333,3.0,handcuff,not_applicable,none
Jacob Saylors,DET,25.0,216.0,00-0038896,0.0,11.0,,0.0,0.0,0.0,0.0,,,2.0,0.0,2.0,0.0037735849056603774,0.0,5.5,4.0,handcuff,not_applicable,none
Zavier Scott,MIN,27.0,216.0,00-0038440,0.05283605283605285,11.0,,6.0,0.0444444444444444,0.0416666666666666,0.0,,0.1186131386861313,32.0,16.0,48.0,0.11510791366906475,0.2077922077922078,4.608695652173913,3.0,handcuff,not_applicable,none
Rasheen Ali,BAL,25.0,216.0,00-0039796,0.0306306306306306,15.0,,3.0,0.0185185185185185,0.0,0.0,0.2745098039215686,0.1876332622601279,7.0,11.0,18.0,0.03870967741935484,0.1506849315068493,5.75,3.0,handcuff,not_applicable,none
Dylan Laube,LV,26.0,216.0,00-0039407,0.0080971659919028,17.0,,0.0,0.0,0.0,0.0,,0.0309810671256454,7.0,4.0,11.0,0.02736318407960199,0.042105263157894736,2.7,3.0,handcuff,not_applicable,none
Chris Collier,LV,26.0,,00-0039244,,6.0,,,,,,,,,2.0,7.0,0.016666666666666666,,,4.0,handcuff,not_applicable,none
Josh Williams,TB,25.0,,00-0040429,0.0,2.0,,0.0,0.0,0.0,0.0,,0.0016611295681063,4.0,0.0,4.0,0.0081799591002045,0.0,2.75,4.0,unconfirmed,not_applicable,none
