player_name,position,team,adp,adp_rank,age,injury_status,injury_risk,player_id,career_touches,snap_share,depth_chart_competition,target_share_rate,opportunity_share_rate,games_recent,target_share_data_quality_flag,redzone_target_share,redzone_carry_share,td_rate_vs_baseline,value_signal_market,volatility_diagnostic,target_share_percentile,opportunity_share_percentile,snap_share_percentile,epa_rank,pace_rank,scoring_rank,home_climate,road_cold_games,bye_week,season_sos_rank,short_week_or_primetime_games,injury_score,injury_acute_score,injury_chronic_score,games_missed_by_season,injury_severity_by_season,injury_override_note,role_usage_td_score,role_usage_td_override_note,offense_environment_score,schedule_weather_venue_score,risk_index
Caleb Lohner,TE,DEN,216.0,357.0,24.0,Questionable,65.0,,,,,,,,,,,,,,,,,10.0,3.0,14.0,outdoor,3.0,10.0,21.0,5.0,1.0,1.0,1.0,{},{},,2.5,,1.5,3.0,18.8
Cam Miller,QB,MIA,216.0,359.0,25.0,Active,30.0,,,,,,,,,,,,,,,,,20.0,30.0,22.0,outdoor,4.0,6.0,4.0,0.0,1.0,1.0,1.0,{},{},,2.5,,3.5,4.2,44.3
Carson Wentz,QB,MIN,216.0,360.0,33.0,Active,30.0,00-0032950,370.0,0.2997002997002997,0.5,0.0,0.041834451901566,5.0,,0.0,0.0344827586206896,1.0219214588619825,,,0.4391891891891892,0.5,0.4864864864864865,28.0,31.0,27.0,dome,3.0,6.0,1.0,4.0,5.0,5.0,4.8,"{""2016"": 1, ""2017"": 4, ""2018"": 6, ""2019"": 1, ""2020"": 5, ""2021"": 0, ""2022"": 9, ""2023"": 16, ""2024"": 15, ""2025"": 12}","{""2016"": ""minor"", ""2017"": ""moderate"", ""2018"": ""moderate"", ""2019"": ""minor"", ""2020"": ""moderate"", ""2021"": ""minor"", ""2022"": ""moderate"", ""2023"": ""season_ending"", ""2024"": ""season_ending"", ""2025"": ""season_ending""}",,2.3,,4.4,4.1,74.0
Case Keenum,QB,CHI,216.0,361.0,38.0,Active,30.0,00-0028986,150.0,,,,,,,,,,,,,,,8.0,2.0,9.0,outdoor,1.0,10.0,11.0,5.0,5.0,5.0,4.8,"{""2013"": 9, ""2014"": 15, ""2015"": 12, ""2016"": 7, ""2017"": 2, ""2018"": 1, ""2019"": 7, ""2020"": 16, ""2021"": 12, ""2022"": 15, ""2023"": 15, ""2024"": 17, ""2025"": 17}","{""2013"": ""moderate"", ""2014"": ""season_ending"", ""2015"": ""season_ending"", ""2016"": ""moderate"", ""2017"": ""minor"", ""2018"": ""minor"", ""2019"": ""moderate"", ""2020"": ""season_ending"", ""2021"": ""season_ending"", ""2022"": ""season_ending"", ""2023"": ""season_ending"", ""2024"": ""season_ending"", ""2025"": ""season_ending""}",,2.5,,1.1,2.6,60.0
Casey Washington,WR,CAR,216.0,362.0,25.0,Active,30.0,00-0039394,7.0,0.1651459854014598,0.5,0.09171483622350687,0.09171483622350687,5.0,corrected,0.0,0.0,0.0,,,0.41621621621621624,0.41621621621621624,0.296875,26.0,23.0,25.0,outdoor,1.0,5.0,25.0,3.0,5.0,5.0,1.0,"{""2024"": 15, ""2025"": 12}","{""2024"": ""season_ending"", ""2025"": ""season_ending""}",,2.6,,3.9,2.0,65.6
Cedrick Wilson,WR,DET,216.0,364.0,30.0,Active,30.0,00-0034418,132.0,0.2099898063200815,0.5,0.05519480519480525,0.05519480519480525,6.0,corrected,0.044776119402985,0.0,0.0,,,0.2648648648648649,0.2648648648648649,0.34375,9.0,13.0,3.0,dome,2.0,6.0,24.0,5.0,5.0,5.0,4.8,"{""2018"": 17, ""2019"": 13, ""2020"": 4, ""2021"": 3, ""2022"": 4, ""2023"": 6, ""2024"": 4, ""2025"": 11}","{""2018"": ""season_ending"", ""2019"": ""season_ending"", ""2020"": ""moderate"", ""2021"": ""moderate"", ""2022"": ""moderate"", ""2023"": ""moderate"", ""2024"": ""moderate"", ""2025"": ""moderate""}",,2.9,,1.3,2.4,60.0
Chase Roberts,WR,LV,216.0,365.0,25.0,Active,30.0,,,,,,,,,,,,,,,,,32.0,32.0,31.0,dome,4.0,13.0,20.0,0.0,1.0,1.0,1.0,{},{},,2.5,,5.0,1.9,51.4
Chris Herndon,TE,,216.0,367.0,26.0,Active,30.0,00-0034766,75.0,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,4.8,"{""2018"": 3, ""2019"": 16, ""2020"": 5, ""2021"": 11, ""2022"": 17, ""2023"": 17, ""2024"": 17, ""2025"": 17}","{""2018"": ""moderate"", ""2019"": ""season_ending"", ""2020"": ""moderate"", ""2021"": ""moderate"", ""2022"": ""season_ending"", ""2023"": ""season_ending"", ""2024"": ""season_ending"", ""2025"": ""season_ending""}",,2.5,,,,66.7
Cole Beasley,WR,,216.0,370.0,34.0,Inactive,30.0,00-0029000,557.0,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,4.8,"{""2012"": 9, ""2013"": 3, ""2014"": 2, ""2015"": 1, ""2016"": 1, ""2017"": 2, ""2018"": 1, ""2019"": 2, ""2020"": 2, ""2021"": 1, ""2022"": 13, ""2023"": 17, ""2024"": 17, ""2025"": 17}","{""2012"": ""moderate"", ""2013"": ""moderate"", ""2014"": ""minor"", ""2015"": ""minor"", ""2016"": ""minor"", ""2017"": ""minor"", ""2018"": ""minor"", ""2019"": ""minor"", ""2020"": ""minor"", ""2021"": ""minor"", ""2022"": ""season_ending"", ""2023"": ""season_ending"", ""2024"": ""season_ending"", ""2025"": ""season_ending""}",,2.5,,,,62.5
Cooper Rush,QB,ATL,216.0,373.0,32.0,Active,30.0,00-0033662,62.0,0.1134122287968441,0.5,0.0,0.01829924650161464,4.0,,0.0,0.0,0.0,,,0.4391891891891892,0.12162162162162163,0.32432432432432434,23.0,14.0,23.0,outdoor,2.0,11.0,26.0,3.0,5.0,5.0,4.8,"{""2017"": 15, ""2018"": 17, ""2019"": 17, ""2020"": 17, ""2021"": 13, ""2022"": 9, ""2023"": 10, ""2024"": 5, ""2025"": 13}","{""2017"": ""season_ending"", ""2018"": ""season_ending"", ""2019"": ""season_ending"", ""2020"": ""season_ending"", ""2021"": ""season_ending"", ""2022"": ""moderate"", ""2023"": ""moderate"", ""2024"": ""moderate"", ""2025"": ""season_ending""}",,2.9,,3.3,2.0,61.4
